D (m),L (m),P (kPa),G (kg m-2s-1),Tin (C),Xe (-),CHF (kW m-2)
0.002239406,0.503400264,3047.77513,1466.260292,52.2586381,0.652178059,3429.726211
0.002335662,0.523803495,2871.179469,1098.361512,52.99026266,0.729951996,2765.97907
0.002464267,0.481832421,3167.961063,711.3044445,28.30606616,0.683549926,1861.555346
0.002472242,0.508226949,3176.763558,1300.949033,50.94359687,0.672302542,3297.012972
0.002548502,0.483987006,3102.252409,1016.307451,29.0703775,0.652739823,2323.507666
0.002551241,0.208341532,1205.341729,5278.203364,17.59506554,0.046330248,13174.12894
0.003143505,0.48729558,4948.316971,2114.935549,57.54536343,0.313060182,5232.661888
0.003468939,1.568395346,14715.11387,3783.102363,259.5797589,0.200825967,1716.841641
0.003659078,0.775278614,15125.16233,4796.336419,318.9957045,0.187036288,1941.899333
0.003684283,0.815440794,14594.27633,3953.636272,290.6530649,0.111134225,2135.843636
0.003691429,0.829052023,7660.107462,4721.141385,237.764727,0.154808435,3025.80768
0.003703731,2.082123446,2476.780722,1748.474895,53.78905056,0.587804904,1430.463031
0.00372182,1.552898408,9831.507955,3831.872686,270.4402803,0.291450104,1461.633865
0.003728737,0.804674109,7999.594879,7040.405066,270.2165077,0.16427856,3499.639677
0.003740447,0.800303707,9807.990087,4921.520642,216.8228372,0.086397484,3476.458526
0.003756957,2.129609339,1317.75686,1287.475278,56.86650397,0.599381037,1057.099624
0.003774135,0.806972602,10074.33965,4979.505034,267.0699951,0.134621627,2635.503109
0.003780905,1.529376246,2946.372374,3916.810357,200.2177206,0.340180424,1829.060168
0.003794498,3.121098524,2271.380585,496.7716967,50.36075421,0.972656887,406.8812205
0.003797269,1.546224517,10045.58803,4024.167733,253.4564952,0.261866586,1665.036969
0.003808286,0.41788165,113.5949928,2306.428898,19.0065873,0.277541279,5294.15344
0.003810277,0.784730631,9633.872221,7881.914866,248.1886499,0.057954779,3291.606747
0.003839114,0.790690981,8157.580004,4917.398431,225.9691731,0.155550146,3182.015768
0.003850314,1.082146593,1355.878852,1100.712205,58.963594,0.579682449,1800.316981
